35				
3001	1030	2010	2	2
3002	1040	2010	11	8
3003	1010	2009	8	2
3004	1060	2009	1	23
3005	1120	2009	11	4
3006	1040	2010	12	2
3007	1010	2009	6	10
3008	1020	2010	5	19
3009	1030	2008	2	2
3010	1020	2010	12	15
3011	1120	2008	8	15
3012	1000	2010	9	27
3013	1140	2009	2	10
3014	1070	2009	5	20
3015	1080	2009	7	1
3016	1060	2009	8	25
3017	1050	2009	4	13
3018	1090	2010	6	12
3019	1000	2009	5	14
3020	1110	2010	1	19
3021	1060	2009	9	3
3022	1010	2008	1	25
3023	1130	2008	5	13
3024	1040	2009	2	28
3025	1130	2009	7	6
3026	1030	2010	3	4
3027	1050	2010	10	8
3028	1110	2009	1	17
3029	1050	2010	5	19
3030	1140	2009	2	19
3031	1080	2009	8	27
3032	1090	2010	8	4
3033	1000	2009	9	14
3034	1020	2009	9	3
3035	1070	2008	7	22

101			
5007	3001	100015	10
5084	3016	319101	5
5048	3015	007001	9
5074	3010	150089	1
5056	3027	399112	6
5033	3023	304050	4
5021	3017	384858	6
5097	3011	009548	6
5061	3006	007001	7
5049	3023	102200	10
5019	3002	319101	3
5050	3019	321983	3
5063	3017	481739	2
5034	3004	336372	4
5026	3003	321983	3
5060	3019	354555	2
5027	3005	009548	7
5042	3004	417562	7
5075	3010	354555	3
5098	3024	417562	3
5085	3007	007001	2
5044	3014	150089	4
5024	3005	354555	10
5002	3002	120012	1
5078	3029	009548	6
5069	3025	120012	9
5065	3027	481739	7
5079	3009	399112	4
5058	3015	200003	10
5046	3032	150089	6
5090	3008	150001	6
5029	3011	100015	6
5030	3009	493874	9
5037	3001	304050	4
5080	3025	009548	8
5092	3007	009548	8
5041	3008	150001	5
5070	3023	354555	3
5082	3029	493874	9
5057	3018	321983	7
5064	3034	481739	5
5073	3022	304050	8
5071	3012	384858	7
5043	3035	200003	4
5077	3028	120012	5
5067	3026	336372	9
5016	3003	399112	5
5020	3020	384858	2
5011	3033	150001	6
5076	3030	200003	7
5053	3029	150089	6
5012	3020	336372	3
5068	3025	321983	7
5086	3006	304050	10
5035	3018	319101	2
5088	3024	412983	7
5100	3021	417562	8
5059	3012	102200	4
5008	3028	120012	2
5009	3032	120012	10
5018	3031	399112	1
5096	3030	319101	10
5031	3016	399112	3
5001	3007	100015	8
5081	3024	200003	1
5052	3016	417562	7
5010	3018	102200	4
5055	3003	100015	7
5083	3019	417562	7
5022	3020	304050	4
5036	3005	009548	9
5101	3026	009548	4
5005	3015	354555	9
5032	3027	100015	3
5095	3035	481739	8
5040	3031	493874	2
5099	3013	384858	8
5072	3009	102200	9
5013	3022	150089	9
5091	3002	412983	8
5014	3006	007001	3
5054	3013	412983	9
5089	3028	200003	7
5003	3031	481739	9
5087	3004	412983	7
5038	3010	384858	4
5028	3021	009548	10
5062	3008	336372	3
5066	3034	009548	2
5094	3026	493874	5
5017	3021	007001	6
5004	3014	493874	3
5039	3011	336372	7
5025	3033	481739	7
5023	3022	009548	6
5015	3014	412983	7
5045	3001	150001	3
5093	3013	102200	9
5051	3030	319101	8
5047	3017	150001	10
5006	3012	321983	2
